cam_sat,cam_tca,cam_dv_ms,num_degraded_crossings,num_unique_neighbors,worst_dist_km,worst_degradation_km,mean_degradation_km
561,1750970.53,0.1091,1,1,5.105662,0.353213,0.353213
566,483285.18,0.0391,1,1,5.273586,0.184870,0.184870
566,2140069.76,0.0257,1,1,5.203747,0.254709,0.254709
569,958490.51,0.0541,1,1,4.778180,0.680263,0.680263
573,353269.81,0.1086,1,1,23.124170,0.422361,0.422361
576,2163983.87,0.2216,1,1,22.779194,0.786689,0.786689
577,2167104.68,0.0912,1,1,4.648950,0.809765,0.809765
582,1241375.61,0.1439,1,1,21.383044,2.167632,2.167632
583,2397810.77,0.1015,1,1,4.383349,1.075012,1.075012
587,848594.79,0.1935,1,1,4.530564,0.931564,0.931564
590,1276990.38,0.0921,1,1,4.311376,1.146967,1.146967
595,1456770.00,0.1857,1,1,4.632298,0.826022,0.826022
597,214418.26,0.1027,1,1,18.600592,0.147437,0.147437
599,1350408.58,0.0743,1,1,23.549066,0.001200,0.001200
599,1392280.10,0.0545,1,1,4.917230,0.542226,0.542226
605,578699.46,0.0676,1,1,5.450006,0.008240,0.008240
606,655280.24,0.0666,1,1,18.593698,0.175152,0.175152
608,1017360.29,0.1653,2,2,22.978656,969.249092,484.909723
610,649412.78,0.3009,3,3,16.071755,971.282888,324.653312
618,2555494.17,0.0667,1,1,4.741454,0.716828,0.716828
619,1858130.27,0.1412,1,1,4.020860,1.437893,1.437893
620,2377744.29,0.2684,2,2,22.690104,970.860315,485.860430
621,1444285.55,0.1170,1,1,4.928023,0.530223,0.530223
630,348839.36,0.0927,1,1,18.384252,0.367980,0.367980
632,1702141.47,0.2246,2,2,17.289930,969.558266,485.513259
635,1286925.32,0.0163,1,1,5.391526,0.066610,0.066610
636,2077289.69,0.0457,1,1,23.198207,0.355963,0.355963
636,2249340.17,0.1783,1,1,29.664428,969.335572,969.335572
639,1493417.86,0.2455,1,1,3.628748,1.829998,1.829998
640,1895870.82,0.0754,1,1,4.941113,0.520402,0.520402
644,2555640.04,0.1716,2,2,21.874269,969.474099,485.576343
648,1401024.82,0.0495,1,1,23.433457,0.127338,0.127338
649,855735.82,0.0937,1,1,17.900297,0.848262,0.848262
652,171986.26,0.1958,2,2,18.131323,969.995499,485.305730
655,1861736.29,0.1434,1,1,4.482821,0.975736,0.975736
657,777819.44,0.0932,1,1,4.678112,0.780660,0.780660
658,1505122.82,0.2625,1,1,1.064202,4.394172,4.394172
658,2195213.26,0.2440,1,1,4.953354,0.505020,0.505020
659,1633627.52,0.2126,2,1,3.273983,2.184082,1.107077
661,2043661.30,0.2226,2,1,3.737145,1.720986,1.513002
666,550865.11,0.1395,1,1,4.904653,0.554023,0.554023
669,1219720.25,0.0668,1,1,23.268275,0.292500,0.292500
669,2538793.35,0.2646,2,2,21.647713,969.376752,485.644907
670,1230969.53,0.0941,1,1,23.298376,0.251756,0.251756
671,24380.54,0.0302,2,2,0.789604,0.161897,0.113897
671,1136740.02,0.0597,1,1,23.531137,0.017749,0.017749
675,784504.83,0.0892,1,1,5.162426,0.296670,0.296670
676,1135201.09,0.1036,1,1,23.528119,0.020770,0.020770
681,1866827.96,0.3381,2,2,18.098526,970.269018,485.459651
690,345893.56,0.2030,1,1,3.747698,1.711208,1.711208
690,1811254.68,0.0658,1,1,18.582728,0.165514,0.165514
692,164060.31,0.0669,1,1,22.912621,0.636594,0.636594
693,1525989.49,0.3291,1,1,4.389385,1.071019,1.071019
693,1939975.19,0.2499,1,1,3.131802,2.328602,2.328602
695,1577810.17,0.0610,1,1,4.893966,0.564764,0.564764
