time_s,cam_sat,cam_tca,neighbor_sat,perturbed_dist_km,baseline_dist_km,degradation_km
1150590,1071,1150899.40,549,15.067536,15.149132,0.081596
169950,1296,169979.81,752,15.070424,15.138684,0.068260
663210,1513,667311.09,969,15.071254,15.139472,0.068218
2410110,303,2418326.40,1342,15.083333,15.138664,0.055331
1728930,1533,1739456.13,1011,15.088446,15.159162,0.070716
1208730,518,1218230.21,1579,15.094551,15.154390,0.059839
1338930,260,1348670.27,1299,15.104036,15.142694,0.038658
850050,312,861110.25,1373,15.115517,15.144400,0.028883
1655370,870,1655795.58,348,15.128443,15.141646,0.013203
1738710,616,1741165.65,94,15.131601,15.146006,0.014405
1189080,1297,1197280.00,753,15.135512,15.150036,0.014524
1899540,900,1900598.91,356,15.136806,15.138986,0.002180
449820,1079,453124.09,557,15.143566,15.148528,0.004962
2290140,1089,2292279.57,136,15.703133,18.261836,2.558703
1729380,1373,1731519.77,420,15.707915,18.245875,2.537960
1289700,1434,1291572.45,503,15.785464,18.243271,2.457807
1326780,742,1329332.38,1372,16.026045,18.241195,2.215150
742560,1204,745903.45,251,16.122450,18.250429,2.127979
92370,732,97238.89,1384,16.399262,18.253526,1.854264
1944720,1008,1949924.50,55,16.450297,18.244540,1.794243
1569150,625,1570580.12,1255,16.515724,18.238361,1.722637
2495790,1069,2497855.99,116,16.808757,18.256268,1.447511
2015460,1396,2019499.69,443,16.810413,18.238875,1.428462
2216190,1219,2218024.36,266,16.912185,18.256773,1.344588
1563810,1437,1564594.74,484,16.921424,18.239946,1.318522
2445210,1549,2451641.13,596,17.009300,18.241665,1.232365
1784100,1053,1784549.08,100,17.034278,18.238242,1.203964
1690380,1083,1692849.65,152,17.080527,18.238545,1.158018
2183130,1214,2184964.90,283,17.120591,18.242787,1.122196
1742280,488,1745244.78,1140,17.151371,18.245672,1.094301
954810,631,957126.41,1261,17.179230,18.249355,1.070125
530310,194,532860.00,824,17.229606,18.249269,1.019663
2141730,1285,2147110.17,332,17.284304,18.240373,0.956069
2296080,1374,2297912.51,421,17.294154,18.248347,0.954193
1217340,1404,1220080.34,451,17.312990,18.242115,0.929125
2266470,982,2268395.40,29,17.317288,18.240277,0.922989
1469580,1425,1470984.28,472,17.365386,18.248097,0.882711
1608540,122,1609664.89,752,17.369959,18.252520,0.882561
1019010,1220,1022540.24,267,17.402923,18.245613,0.842690
498360,1350,503091.42,397,17.427576,18.239086,0.811510
2011530,1543,2019159.29,612,17.439383,18.239851,0.800468
433860,1004,437949.62,51,17.469911,18.238193,0.768282
1198500,399,1199754.47,1051,17.490294,18.247607,0.757313
2012640,1143,2017284.02,190,17.524991,18.242599,0.717608
313920,607,316250.96,1237,17.560647,18.245572,0.684925
1847070,1207,1851803.89,254,17.584818,18.249019,0.664201
1763940,163,1771315.54,793,17.602160,18.265484,0.663324
806670,760,814202.49,1390,17.615881,18.248002,0.632121
