obj_i,obj_j,miss_km,Pc,dv_ms,type,tca,cam_sat_idx
60,2256,4.637642,1.104231e-31,0.0000,sat-debris,26294.879499,60
0,665,5.335717,1.079200e-31,0.0000,sat-debris,125344.448845,0
61,4388,2.358078,1.016132e-31,0.0000,sat-debris,23104.918867,61
85,3996,2.323642,1.003936e-31,0.0000,sat-debris,334129.689297,85
86,4383,3.047070,9.233613e-32,0.0000,sat-debris,99575.411658,86
84,4366,3.369073,7.700230e-32,0.0000,sat-debris,290025.385395,84
7,4303,3.146808,6.765608e-32,0.0000,sat-debris,698.907915,7
1,4912,3.218003,6.752419e-32,0.0000,sat-debris,34264.618494,1
29,3567,6.329396,6.587720e-32,0.0000,sat-debris,337420.089516,29
42,3763,3.163502,6.115855e-32,0.0000,sat-debris,130940.032022,42
81,3960,3.646761,6.083994e-32,0.0000,sat-debris,28580.397541,81
66,4587,3.850172,5.161891e-32,0.0000,sat-debris,82645.457927,66
22,4821,4.295972,5.097059e-32,0.0000,sat-debris,159655.731030,22
55,4035,2.705907,5.059868e-32,0.0000,sat-debris,283829.340924,55
82,1351,5.951704,5.037946e-32,0.0000,sat-debris,5280.270523,82
33,4852,4.006233,4.480881e-32,0.0000,sat-debris,95965.741795,33
94,4047,3.774847,4.220304e-32,0.0000,sat-debris,209014.980410,94
26,807,6.445295,3.360116e-32,0.0000,sat-debris,46490.583521,26
79,4151,2.381490,3.259118e-32,0.0000,sat-debris,172819.425368,79
54,4004,3.157907,2.958479e-32,0.0000,sat-debris,376034.816074,54
11,3608,3.914819,2.814732e-32,0.0000,sat-debris,189204.403571,11
33,4789,4.153407,2.647060e-32,0.0000,sat-debris,329950.112473,33
13,4894,2.833486,1.836218e-32,0.0000,sat-debris,347460.544679,13
1,3522,4.036897,1.819504e-32,0.0000,sat-debris,406930.944770,1
26,3700,2.486255,1.442199e-32,0.0000,sat-debris,312379.496861,26
28,1859,3.698679,1.341536e-32,0.0000,sat-debris,409064.288542,28
64,3874,2.704774,1.333628e-32,0.0000,sat-debris,272724.856666,64
80,4902,2.524786,1.239249e-32,0.0000,sat-debris,361411.200383,80
19,4910,4.311848,1.197527e-32,0.0000,sat-debris,137990.720890,19
73,4019,4.606429,1.135728e-32,0.0000,sat-debris,381340.738429,73
36,4958,4.247449,1.123494e-32,0.0000,sat-debris,329205.198582,36
83,4155,4.393108,1.120486e-32,0.0000,sat-debris,238854.372138,83
