sat_i,sat_j,min_dist_km
97,206,0.799244
537,646,0.799261
624,733,0.799263
1108,1217,0.799264
248,357,0.799291
3,1477,0.799294
1095,1204,0.799302
751,860,0.799302
1150,1259,0.799304
1030,1139,0.799307
100,1574,0.799322
1313,1422,0.799334
671,780,0.799344
1251,1360,0.799357
451,560,0.799359
5,114,0.799363
101,210,0.799368
1158,1267,0.799376
429,538,0.799380
473,582,0.799396
792,923,0.799396
1317,1426,0.799397
570,679,0.799412
1060,1169,0.799423
370,479,0.799425
426,535,0.799437
854,963,0.799487
389,498,0.799502
100,209,0.799512
525,634,0.799517
543,652,0.799526
517,626,0.799531
1232,1363,0.799532
742,851,0.799564
272,381,0.799577
1221,1330,0.799579
726,857,0.799584
282,391,0.799609
474,583,0.799619
928,1037,0.799622
48,157,0.799623
119,228,0.799624
1114,1223,0.799626
717,826,0.799635
664,773,0.799655
70,179,0.799659
45,154,0.799673
411,520,0.799681
1163,1272,0.799716
289,398,0.799731
932,1041,0.799745
263,372,0.799749
1264,1373,0.799754
833,942,0.799799
442,551,0.799828
113,222,0.799830
679,788,0.799836
1164,1273,0.799841
855,964,0.799848
864,973,0.799852
1074,1183,0.799853
323,432,0.799874
1303,1412,0.799875
468,577,0.799879
880,1011,0.799881
497,606,0.799909
447,556,0.799910
316,425,0.799911
454,563,0.799930
402,511,0.799936
1162,1271,0.799957
138,247,0.799963
1419,1528,0.799963
980,1089,0.799963
189,298,0.799987
774,883,0.800004
677,786,0.800015
905,1014,0.800023
75,1549,0.800043
1033,1142,0.800061
109,1583,0.800069
308,439,0.800079
1097,1206,0.800101
38,1512,0.800103
661,770,0.800170
561,670,0.800176
239,348,0.800193
758,867,0.800215
752,861,0.800221
1271,1380,0.800225
1402,1511,0.800245
124,233,0.800251
1180,1289,0.800259
1011,1120,0.800261
27,1501,0.800269
1003,1112,0.800282
898,1007,0.800299
407,516,0.800309
1261,1370,0.800320
524,633,0.800330
1110,1219,0.800352
531,640,0.800385
996,1105,0.800387
1464,1573,0.800389
1240,1349,0.800396
1078,1209,0.800399
